emp_class,gender,department,sub_division,gspecial,jobtitle,rank,servstatus,age,expyears,mstatue,nkids,salary,degree,performance
ผู้จัดการ,เพศหญิง,Sales and Marketing (Department),Exhibition (Local) - Reactive,Exhibition (Local) - Reactive,Manager - Sales,5,พ้นสภาพ,49,21,โสด,0,52132,ปริญญาตรี,C
พนักงาน,เพศชาย,Kitchen (Department),Kitchen Cleaner,Kitchen Cleaner,Supervisor - Steward,8,ปัจจุบัน,45,21,โสด,2,32078,ปริญญาตรี,C
ผู้จัดการ,เพศชาย,Management FM (Department),Management FM,Management FM,Manager - General Administrative,5,ปัจจุบัน,46,21,โสด,0,58533,ปริญญาตรี,B
ผู้จัดการ,เพศหญิง,Sales and Marketing (Department),Corporate & Media (Proactive),Corporate & Media (Proactive),Manager - Sales,5,ปัจจุบัน,48,19,แต่งงาน,2,49994,ปริญญาตรี,C
ผู้จัดการ,เพศหญิง,Exhibition Project (Department),Consumer Team,Consumer Team,Senior Manager - Project,4,ปัจจุบัน,55,22,แต่งงาน,1,92031,,B
พนักงาน,เพศหญิง,Real Estate (Department),Real Estate Tenant Coordinator,Real Estate Tenant Coordinator,Service Staff,10,ปัจจุบัน,51,21,โสด,2,19234,,C
พนักงาน,เพศชาย,Kitchen (Department),Chef Office,Chef Office,Driver,11,พ้นสภาพ,60,21,โสด,3,15267,,D
ผู้จัดการ,เพศหญิง,Corporate Communications (Department),Creative & Graphic Design,Creative & Graphic Design,Project Coordinator,5,พ้นสภาพ,58,22,โสด,0,46000,ปริญญาตรี,D
ผู้จัดการ,เพศหญิง,Sales and Marketing (Department),International Exhibition & Convention (Pro),International Exhibition & Convention (Pro),Senior Manager - Sales,4,ปัจจุบัน,51,21,โสด,0,75728,,C
หัวหน้างาน,เพศชาย,Operations (Department),Housekeeping,Housekeeping,Chief Building,7,ปัจจุบัน,56,21,แต่งงาน,2,37080,ปริญญาตรี,C
ผู้จัดการ,เพศชาย,Project Management (Department),Cost Control,Cost Control,Senior Manager - Cost Control,4,ปัจจุบัน,54,22,โสด,1,90515,,B
พนักงาน,เพศชาย,Management Office (Department),Reception & Operator,Reception & Operator,Driver,10,ปัจจุบัน,48,22,โสด,2,35846,,A
หัวหน้างาน,เพศหญิง,Finance & Accounting (Department),Costing,Costing,Assistant F&B Cost Controller,6,ปัจจุบัน,50,20,โสด,0,50894,ปริญญาตรี,B
พนักงาน,เพศหญิง,Restaurant Group (Department),Hong Kong Fisherman - Service,Hong Kong Fisherman - Service,Cleaner,11,พ้นสภาพ,57,21,โสด,2,11550,,B
ผู้จัดการ,เพศหญิง,Sales and Marketing (Department),Government (Proactive),Government (Proactive),Manager - Sales,5,ปัจจุบัน,40,20,โสด,0,53291,ปริญญาตรี,C
พนักงาน,เพศชาย,Kitchen (Department),Thai Kitchen,Thai Kitchen,Demi Chef,8,ปัจจุบัน,56,20,โสด,2,22891,ปริญญาตรี,C
หัวหน้างาน,เพศชาย,Operations (Department),Housekeeping,Housekeeping,Chief Building,7,พ้นสภาพ,58,20,แต่งงาน,1,35700,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,Food & Beverage (Department),Steward,Steward,Assistant Manager - Steward,6,ปัจจุบัน,40,20,แต่งงาน,0,33600,ปริญญาตรี,B
ผู้จัดการ,เพศหญิง,Facility Management & IT (Department),Document Control,Document Control,Manager - Document Control,5,ปัจจุบัน,48,20,โสด,0,46668,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Finance & Accounting (Department),Finance,Finance,Assistant General Cashier,7,ปัจจุบัน,47,20,โสด,0,38233,ปริญญาตรี,A
พนักงาน,เพศหญิง,Finance & Accounting (Department),Receiving,Receiving,Supervisor - Receiving,8,ปัจจุบัน,50,20,โสด,0,28537,ปริญญาตรี,C
ผู้จัดการ,เพศหญิง,Sales and Marketing (Department),Corporate & Media (Proactive),Corporate & Media (Proactive),Manager - Sales,5,ปัจจุบัน,52,20,โสด,1,54157,ปริญญาตรี,C
หัวหน้างาน,เพศชาย,City Management (Department),City Traffic and Security,City Traffic and Security,Assistant Manager City Traffic and Security,6,ปัจจุบัน,49,20,โสด,2,42036,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Facility Management & IT (Department),Drawing,Drawing,Assistant Manager - Drawing,6,ปัจจุบัน,48,20,โสด,0,37204,ปริญญาตรี,C
หัวหน้างาน,เพศชาย,Project Management (Department),Construction,Construction,General Foreman,7,ปัจจุบัน,50,20,โสด,1,28119,ปริญญาตรี,B
พนักงาน,เพศหญิง,Kitchen (Department),Fast Food Kitchen,Fast Food Kitchen,Demi Chef,8,พ้นสภาพ,46,19,โสด,0,15000,ปริญญาตรี,D
หัวหน้างาน,เพศชาย,Facility Management & IT (Department),Cosmo Bazaar,Cosmo Bazaar,Assistant Manager - M&E (Cosmo Bazaar),6,ปัจจุบัน,41,19,โสด,0,35020,ปริญญาตรี,C
ผู้จัดการ,เพศชาย,Facility Management & IT (Department),Operation Support (M&E),Operation Support (M&E),Manager - Operation Support M&E,5,ปัจจุบัน,43,19,แต่งงาน,0,52236,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Kitchen (Department),Chef Office,Chef Office,Food Inspector I,7,พ้นสภาพ,44,19,โสด,0,30151,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,Food & Beverage (Department),Steward,Steward,Assistant Chief - Steward,6,ปัจจุบัน,40,19,โสด,2,40959,ปริญญาตรี,B
ผู้จัดการ,เพศชาย,Facility Management & IT (Department),Facility Building,Facility Building,Senior Manager - Facility Building,4,ปัจจุบัน,59,19,แต่งงาน,3,84275,,B
ผู้จัดการ,เพศหญิง,Operations (Department),Service Operation,Service Operation,Manager - Service Operation,5,พ้นสภาพ,41,19,โสด,0,48069,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Kitchen (Department),Preparation Kitchen,Preparation Kitchen,Junior Sous Chef,6,ปัจจุบัน,55,19,หม้าย,1,32592,ปริญญาตรี,B
หัวหน้างาน,เพศหญิง,Kitchen (Department),Chef Office,Chef Office,Food Inspector I,7,พ้นสภาพ,55,19,โสด,1,27443,ปริญญาตรี,B
ผู้จัดการ,เพศหญิง,Food & Beverage (Department),Catering,Catering,Manager - Catering,5,พ้นสภาพ,61,18,โสด,0,60589,ปริญญาตรี,B
พนักงาน,เพศชาย,Operations (Department),Loss Prevention Control,Loss Prevention Control,Loss Prevention Officer,9,พ้นสภาพ,56,16,โสด,0,14800,,D
พนักงาน,เพศชาย,Operations (Department),Loss Prevention Control,Loss Prevention Control,Loss Prevention Officer,9,พ้นสภาพ,41,16,โสด,0,16863,,D
หัวหน้างาน,เพศชาย,Operations (Department),Data Center and Store,Data Center and Store,Assistant Manager - Store,6,ปัจจุบัน,42,18,โสด,0,41146,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Food & Beverage (Department),Banquet - Service,Banquet - Service,Supervisor - Banquet,7,ปัจจุบัน,37,18,โสด,2,27685,ปริญญาตรี,B
พนักงาน,เพศชาย,Facility Management & IT (Department),Repair Maintenance & Restaurant Project,Repair Maintenance & Restaurant Project,Supervisor Building,8,ปัจจุบัน,43,18,โสด,0,24075,ปริญญาตรี,A
หัวหน้างาน,เพศหญิง,Restaurant Group (Department),Manorah - Service,Manorah - Service,Assistant Manager,7,ปัจจุบัน,47,18,โสด,2,22220,ปริญญาตรี,D
ผู้จัดการ,เพศชาย,Food & Beverage (Department),F&B Training & QA,F&B Training & QA,Manager - FB Training QA,5,พ้นสภาพ,50,18,โสด,0,41096,ปริญญาตรี,C
พนักงาน,เพศหญิง,Food & Beverage (Department),Steward,Steward,Steward Attendant,10,พ้นสภาพ,54,18,โสด,1,18968,,B
หัวหน้างาน,เพศหญิง,Finance & Accounting (Department),Budget & Report,Budget & Report,Assistant Manager - Budget & Report,6,ปัจจุบัน,45,18,โสด,0,38399,ปริญญาตรี,B
พนักงาน,เพศหญิง,Operations (Department),Housekeeping,Housekeeping,Linen Attendant,11,พ้นสภาพ,57,18,โสด,0,12484,,C
พนักงาน,เพศหญิง,Finance & Accounting (Department),Cashier (Car Park3),Cashier (Car Park3),Cashier (Car Park),10,พ้นสภาพ,52,18,โสด,0,16644,,C
หัวหน้างาน,เพศชาย,Corporate Human Resources (Department),Casual Management,Casual Management,Assistant Manager - Casual Management,6,พ้นสภาพ,47,18,โสด,0,47007,ปริญญาตรี,C
พนักงาน,เพศหญิง,Chinese Restaurant (Kitchen) (Department),Hong Kong Fisherman - Kitchen,Hong Kong Fisherman - Kitchen,Commis I,9,ปัจจุบัน,47,18,โสด,0,19812,ปริญญาตรี,B
พนักงาน,เพศหญิง,Food & Beverage (Department),Steward,Steward,Steward Attendant,10,ปัจจุบัน,54,18,โสด,0,16408,,C
หัวหน้างาน,เพศหญิง,Food & Beverage (Department),Banquet - Support,Banquet - Support,Assistant Manager - Florist,6,ปัจจุบัน,55,18,โสด,0,43557,ปริญญาตรี,B
พนักงาน,เพศหญิง,Food & Beverage (Department),Banquet - Support,Banquet - Support,Florist Attendant,10,ปัจจุบัน,41,18,โสด,0,19082,,B
ผู้จัดการ,เพศชาย,Chinese Restaurant (Kitchen) (Department),Hong Kong Fisherman - Kitchen,Hong Kong Fisherman - Kitchen,Executive Chinese Sous Chef,4,ปัจจุบัน,49,18,แต่งงาน,2,85291,,A
หัวหน้างาน,เพศชาย,Facility Management & IT (Department),Operation Support (M&E),Operation Support (M&E),Supervisor - Operation Support M&E,7,ปัจจุบัน,41,18,โสด,0,17878,ปริญญาตรี,D
ผู้จัดการ,เพศชาย,Food & Beverage (Department),Steward,Steward,Manager - Steward,5,ปัจจุบัน,52,18,โสด,1,43260,ปริญญาตรี,C
พนักงาน,เพศหญิง,Operations (Department),Housekeeping,Housekeeping,Linen Attendant,11,พ้นสภาพ,56,18,โสด,0,12484,,B
พนักงาน,เพศหญิง,Food & Beverage (Department),Steward,Steward,Steward Attendant,10,ปัจจุบัน,53,18,โสด,0,17394,,B
พนักงาน,เพศหญิง,Finance & Accounting (Department),Finance2,Finance2,Supervisor - Cashier,8,ปัจจุบัน,42,18,โสด,1,29199,ปริญญาตรี,B
พนักงาน,เพศหญิง,Restaurant Group (Department),Terrazza - Kitchen,Terrazza - Kitchen,Commis III,10,พ้นสภาพ,43,18,โสด,0,16273,,B
หัวหน้างาน,เพศชาย,Food & Beverage (Department),Banquet - Service,Banquet - Service,Assistant Manager - Banquet,6,ปัจจุบัน,45,18,แต่งงาน,3,35280,ปริญญาตรี,B
ผู้จัดการ,เพศชาย,Chinese Restaurant (Kitchen) (Department),Chinese Banquet Kitchen,Chinese Banquet Kitchen,Chinese Chef,5,ปัจจุบัน,46,18,โสด,0,49345,ปริญญาตรี,A
หัวหน้างาน,เพศหญิง,Food & Beverage (Department),Catering,Catering,Assistant Manager - Catering,6,ปัจจุบัน,39,18,โสด,0,35974,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,Sales and Marketing (Department),Sales Administration,Sales Administration,Assistant Manager - Database Management System,6,ปัจจุบัน,39,18,โสด,0,41687,ปริญญาตรี,C
พนักงาน,เพศหญิง,Management Office (Department),Chairman Office,Chairman Office,Secretary to Chairman,8,พ้นสภาพ,40,18,โสด,0,45449,ปริญญาตรี,A
หัวหน้างาน,เพศชาย,Food & Beverage (Department),Banquet - Service,Banquet - Service,Supervisor - Banquet,7,พ้นสภาพ,43,18,โสด,2,27947,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,Kitchen (Department),Thai Kitchen,Thai Kitchen,Chef de Partie,7,ปัจจุบัน,55,18,โสด,0,25538,ปริญญาตรี,C
ผู้จัดการ,เพศชาย,Food & Beverage (Department),Banquet - Service,Banquet - Service,Manager - Banquet,5,ปัจจุบัน,58,17,โสด,1,44940,ปริญญาตรี,A
หัวหน้างาน,เพศชาย,Operations (Department),Set Up,Set Up,Supervisor - Set up,7,ปัจจุบัน,43,17,โสด,0,24745,ปริญญาตรี,D
พนักงาน,เพศหญิง,Finance & Accounting (Department),Finance2,Finance2,Supervisor - Cashier,8,ปัจจุบัน,45,17,หย่า,0,31207,ปริญญาตรี,B
ผู้จัดการ,เพศชาย,Food & Beverage (Department),Beverage,Beverage,Manager - Fast Food,5,ปัจจุบัน,54,17,แต่งงาน,1,44940,ปริญญาตรี,A
หัวหน้างาน,เพศชาย,Food & Beverage (Department),Banquet - Service,Banquet - Service,Supervisor - Banquet,7,พ้นสภาพ,46,17,โสด,0,23340,ปริญญาตรี,C
ผู้จัดการ,เพศชาย,Chinese Restaurant (Kitchen) (Department),Hong Kong Fisherman - Kitchen,Hong Kong Fisherman - Kitchen,Chinese Chef,5,ปัจจุบัน,59,17,โสด,2,56007,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,Operations (Department),Housekeeping,Housekeeping,Chief Building,7,ปัจจุบัน,59,17,แต่งงาน,2,35310,ปริญญาตรี,A
หัวหน้างาน,เพศชาย,Finance & Accounting (Department),Operation Cashier,Operation Cashier,Chief Cashier,6,ปัจจุบัน,46,17,โสด,0,51267,ปริญญาตรี,C
หัวหน้างาน,เพศชาย,Operations (Department),Housekeeping,Housekeeping,Assistant Manager - Housekeeping,6,ปัจจุบัน,43,17,แต่งงาน,2,33990,ปริญญาตรี,C
หัวหน้างาน,เพศชาย,Operations (Department),Set Up,Set Up,Supervisor - Set up,7,ปัจจุบัน,42,17,โสด,0,25725,ปริญญาตรี,B
พนักงาน,เพศหญิง,Real Estate (Department),Real Estate Tenant Coordinator,Real Estate Tenant Coordinator,Service Staff,10,ปัจจุบัน,51,17,แต่งงาน,1,19530,,B
หัวหน้างาน,เพศชาย,Operations (Department),Set Up,Set Up,Supervisor - Set up,7,ปัจจุบัน,54,17,โสด,0,25235,ปริญญาตรี,C
พนักงาน,เพศหญิง,Food & Beverage (Department),Steward,Steward,Steward Attendant,10,พ้นสภาพ,55,17,โสด,0,12500,,B
หัวหน้างาน,เพศหญิง,Restaurant Group (Department),Hong Kong Fisherman - Service,Hong Kong Fisherman - Service,Assistant Manager - Restaurant,7,ปัจจุบัน,38,17,โสด,0,23594,ปริญญาตรี,B
หัวหน้างาน,เพศหญิง,Finance & Accounting (Department),Credit Control,Credit Control,Assistant Credit Controller,7,พ้นสภาพ,50,17,โสด,0,34174,ปริญญาตรี,A
ผู้จัดการ,เพศชาย,Corporate Communications (Department),Photo media & Visual,Photo media & Visual,Senior Manager - Creative Visual Art,4,ปัจจุบัน,45,17,โสด,0,70000,,C
หัวหน้างาน,เพศชาย,Exhibition Project (Department),Trade Team,Trade A Center,Graphic Designer,7,พ้นสภาพ,44,17,แต่งงาน,0,33600,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,City Management (Department),City Traffic,City Traffic,City Traffic Supervisor (Impact Area),7,พ้นสภาพ,53,17,แต่งงาน,0,22125,ปริญญาตรี,C
พนักงาน,เพศหญิง,Restaurant Group (Department),Terrazza - Kitchen,Terrazza - Kitchen,Commis III,11,ปัจจุบัน,51,17,โสด,0,15706,,B
หัวหน้างาน,เพศหญิง,Finance & Accounting (Department),Finance,Finance,General Cashier,6,ปัจจุบัน,43,17,โสด,0,48673,ปริญญาตรี,B
พนักงาน,เพศหญิง,Exhibition Project (Department),Consumer Team,Consumer Team,Senior Sales Coordinator,8,ปัจจุบัน,48,22,โสด,0,30066,ปริญญาตรี,D
พนักงาน,เพศหญิง,Real Estate (Department),Real Estate Tenant Coordinator,Real Estate Tenant Coordinator,Service Staff,10,พ้นสภาพ,56,17,โสด,3,11000,,C
พนักงาน,เพศชาย,Facility Management & IT (Department),Repair Maintenance & Restaurant Project,Repair Maintenance & Restaurant Project,Senior Building Technician,8,พ้นสภาพ,48,17,โสด,0,21370,ปริญญาตรี,B
พนักงาน,เพศหญิง,Food & Beverage (Department),Steward,Steward,Steward Attendant,10,พ้นสภาพ,44,17,โสด,0,17221,,C
ผู้จัดการ,เพศหญิง,Real Estate (Department),Real Estate Leasing,Real Estate Leasing,Manager - Leasing,5,ปัจจุบัน,42,17,โสด,0,62843,ปริญญาตรี,B
หัวหน้างาน,เพศหญิง,Food & Beverage (Department),Banquet - Service,Banquet - Service,Assistant Manager - Banquet,6,ปัจจุบัน,36,17,โสด,0,32524,ปริญญาตรี,B
ผู้จัดการ,เพศหญิง,Sales and Marketing (Department),International Exhibition & Convention (Rea),International Exhibition & Convention (Rea),Sales Manager,5,พ้นสภาพ,40,17,แต่งงาน,0,52430,ปริญญาตรี,A
พนักงาน,เพศชาย,Chinese Restaurant (Kitchen) (Department),Hong Kong Cafe - Kitchen,Hong Kong Cafe - Kitchen,Commis I,9,พ้นสภาพ,55,17,โสด,0,20639,ปริญญาตรี,B
พนักงาน,เพศหญิง,Chinese Restaurant (Kitchen) (Department),Hong Kong Cafe - Kitchen,Hong Kong Cafe - Kitchen,Dim Sum III,8,ปัจจุบัน,53,17,โสด,0,22495,ปริญญาตรี,C
ผู้จัดการ,เพศหญิง,Food & Beverage (Department),Administration,Administration,Manager - F&B Operation,4,ปัจจุบัน,48,16,โสด,1,73049,,B
หัวหน้างาน,เพศหญิง,Restaurant Group (Department),Terrazza - Kitchen,Terrazza - Kitchen,Assistant Manager - Restaurant,7,พ้นสภาพ,48,17,โสด,0,25401,ปริญญาตรี,C
ผู้จัดการ,เพศหญิง,Finance & Accounting (Department),Accounting,Accounting,Manager - Accounting,5,ปัจจุบัน,49,16,แต่งงาน,0,82991,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,Food & Beverage (Department),Banquet - Service,Banquet - Service,Assistant Manager - Banquet,6,ปัจจุบัน,46,16,โสด,1,38684,ปริญญาตรี,C
หัวหน้างาน,เพศชาย,Facility Management & IT (Department),Mechanic & Kitchen,Mechanic & Kitchen,Supervisor - Mechanical & Electrical (M&E),7,ปัจจุบัน,41,16,แต่งงาน,0,23153,ปริญญาตรี,B
ผู้จัดการ,เพศหญิง,Operations (Department),Housekeeping,Housekeeping,Manager - Housekeeping,5,พ้นสภาพ,53,16,โสด,2,50558,ปริญญาตรี,B
ผู้จัดการ,เพศชาย,Facility Management & IT (Department),Mechanic & Kitchen,Mechanic & Kitchen,Manager - Engineering (Kitchen & Mechanic),5,ปัจจุบัน,48,16,โสด,0,53663,ปริญญาตรี,B
ผู้จัดการ,เพศชาย,Operations (Department),Housekeeping,Housekeeping,Manager - Housekeeping,5,พ้นสภาพ,60,16,โสด,1,53771,ปริญญาตรี,B
พนักงาน,เพศหญิง,Operations (Department),Housekeeping,Housekeeping,Supervisor - Housekeeping,8,ปัจจุบัน,52,16,แต่งงาน,0,23594,ปริญญาตรี,A
ผู้จัดการ,เพศหญิง,Sales and Marketing (Department),Exhibition (Local) - Proactive,Exhibition (Local) - Proactive,Manager - Sales,5,ปัจจุบัน,40,16,แต่งงาน,0,50614,ปริญญาตรี,C
ผู้จัดการ,เพศชาย,Chinese Restaurant (Kitchen) (Department),Chinese Banquet Kitchen,Chinese Banquet Kitchen,Chinese Chef,5,ปัจจุบัน,41,16,โสด,1,45449,ปริญญาตรี,A
พนักงาน,เพศหญิง,Finance & Accounting (Department),Operation Cashier,Operation Cashier,Supervisor - Cashier,8,ปัจจุบัน,40,16,แต่งงาน,0,24794,ปริญญาตรี,C
หัวหน้างาน,เพศชาย,Operations (Department),Loss Prevention Control,Loss Prevention Control,Assistant Manager - Loss Prevention,6,พ้นสภาพ,55,16,โสด,3,40445,ปริญญาตรี,C
ผู้จัดการ,เพศหญิง,Food & Beverage (Department),Catering,Catering,Manager - Catering,5,ปัจจุบัน,44,16,โสด,1,47316,ปริญญาตรี,A
ผู้จัดการ,เพศหญิง,Exhibition Project (Department),Consumer Team,Consumer Team A,Manager - Project,5,ปัจจุบัน,46,16,โสด,0,56565,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Finance & Accounting (Department),Finance,Finance,Assistant General Cashier,7,ปัจจุบัน,41,16,แต่งงาน,0,39338,ปริญญาตรี,B
หัวหน้างาน,เพศหญิง,Kitchen (Department),Preparation Kitchen,Preparation Kitchen,Chef de Partie,7,พ้นสภาพ,56,16,โสด,0,20223,ปริญญาตรี,C
พนักงาน,เพศชาย,Finance & Accounting (Department),Operation Cashier,Operation Cashier,Supervisor - Cashier,8,ปัจจุบัน,39,16,โสด,0,30377,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Finance & Accounting (Department),Credit Control,Credit Control,Assistant Credit Controller,7,ปัจจุบัน,46,16,โสด,0,34174,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Restaurant Group (Department),Terrazza - Service,Terrazza - Service,Assistant Manager - Restaurant,7,ปัจจุบัน,36,16,แต่งงาน,2,22279,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Thong Lor Thai Cuisine (Department),Thonglor Thai Cuisine,Thonglor Thai Cuisine,Assistant Manager - Restaurant,7,พ้นสภาพ,52,16,โสด,0,22279,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,Food & Beverage (Department),Banquet - Service,Banquet - Service,Assistant Manager - Banquet,6,ปัจจุบัน,50,16,โสด,2,39319,ปริญญาตรี,D
หัวหน้างาน,เพศชาย,Facility Management & IT (Department),IT System & Helpdesk,IT System & Helpdesk,Supervisor - Network and Helpdesk,7,ปัจจุบัน,55,16,หย่า,4,30194,ปริญญาตรี,C
พนักงาน,เพศชาย,Restaurant Group (Department),Bistro - Kitchen,Bistro - Kitchen,Commis I,9,พ้นสภาพ,39,16,โสด,0,12000,ปริญญาตรี,C
หัวหน้างาน,เพศชาย,Finance & Accounting (Department),Operation Cashier,Operation Cashier,Assistant Chief Cashier,7,ปัจจุบัน,44,16,โสด,0,40001,ปริญญาตรี,C
พนักงาน,เพศชาย,Finance & Accounting (Department),Accounting,Accounting,Checker,9,ปัจจุบัน,38,16,โสด,0,18160,,C
ผู้จัดการ,เพศชาย,Management Office (Department),Management Office,Management Office,Manager,5,ปัจจุบัน,39,16,โสด,0,65066,ปริญญาตรี,A
หัวหน้างาน,เพศชาย,Restaurant Group (Department),Bistro - Kitchen,Bistro - Kitchen,Junior Sous Chef,7,พ้นสภาพ,57,16,โสด,0,32550,ปริญญาตรี,C
หัวหน้างาน,เพศชาย,Food & Beverage (Department),Steward,Steward,Supervisor - Steward,7,ปัจจุบัน,40,16,โสด,0,29724,ปริญญาตรี,B
พนักงาน,เพศหญิง,IMPACT Lake Front (Department),ISAN JIM JOOM - Kitchen,ISAN JIM JOOM - Kitchen,Demi Chef,8,ปัจจุบัน,38,16,โสด,2,21462,ปริญญาตรี,C
พนักงาน,เพศหญิง,IMPACT Lake Front (Department),ISAN JIM JOOM - Kitchen,ISAN JIM JOOM - Kitchen,Chef de Partie,8,ปัจจุบัน,49,16,โสด,1,29431,ปริญญาตรี,C
ผู้จัดการ,เพศหญิง,Sales and Marketing (Department),Corporate & Media (Proactive),Corporate & Media (Proactive),Manager - Sales,5,ปัจจุบัน,46,16,โสด,1,48695,ปริญญาตรี,D
หัวหน้างาน,เพศหญิง,Real Estate (Department),Real Estate Tenant Coordinator,Real Estate Tenant Coordinator,Supervisor - Tenant Coordinator,7,ปัจจุบัน,42,16,โสด,1,24542,ปริญญาตรี,B
ผู้จัดการ,เพศชาย,Restaurant Group (Department),Flann Impact - Kitchen,Flann Impact - Kitchen,Chef de Cuisine,4,ปัจจุบัน,57,15,โสด,0,57270,,B
หัวหน้างาน,เพศหญิง,Kitchen (Department),Preparation Kitchen,Preparation Kitchen,Chef de Partie,7,ปัจจุบัน,45,16,โสด,2,25841,ปริญญาตรี,B
หัวหน้างาน,เพศหญิง,Food & Beverage (Department),Catering,Catering,Catering Executive,7,ปัจจุบัน,34,15,โสด,1,29946,ปริญญาตรี,B
พนักงาน,เพศชาย,Operations (Department),Service Operation,Service Operation,Service Operation Executive,8,พ้นสภาพ,45,15,โสด,0,17675,ปริญญาตรี,D
หัวหน้างาน,เพศชาย,Food & Beverage (Department),Banquet - Support,Banquet - Support,Supervisor - F&B Art,7,พ้นสภาพ,46,15,โสด,0,30358,ปริญญาตรี,B
พนักงาน,เพศชาย,Finance & Accounting (Department),Finance2,Finance2,Cashier,9,พ้นสภาพ,39,15,โสด,0,20117,,B
พนักงาน,เพศหญิง,Finance & Accounting (Department),Operation Cashier,Operation Cashier,Supervisor - Cashier,8,ปัจจุบัน,41,15,แต่งงาน,0,27341,ปริญญาตรี,C
พนักงาน,เพศชาย,Restaurant Group (Department),Manorah - Kitchen,Manorah - Kitchen,Commis I,9,ปัจจุบัน,48,15,โสด,2,19475,,D
พนักงาน,เพศหญิง,Operations (Department),Set Up,Set Up,Store Staff,9,พ้นสภาพ,57,15,โสด,0,13519,,C
พนักงาน,เพศหญิง,Operations (Department),Housekeeping,Housekeeping,Linen Seamstress,9,ปัจจุบัน,53,15,โสด,0,15950,,D
หัวหน้างาน,เพศชาย,Operations (Department),Loss Prevention Control,Loss Prevention Control,Assistant Manager - Loss Prevention,6,พ้นสภาพ,58,15,โสด,3,30000,ปริญญาตรี,B
